Name,EPPLER 1230 AIRFOIL
Chord(mm),1063
Radius(mm),0
Thickness(%),95
Origin(%),0
Pitch(deg),-1
,
Airfoil surface,
X(mm),Y(mm)
1062.836338,18.652878
1061.228157,19.422710
1056.622950,20.130129
1049.397804,22.316922
1039.956722,25.374039
1028.602409,29.013864
1015.404452,32.904308
1000.228910,36.800634
982.895102,40.699687
963.411189,44.743011
941.914634,48.973404
918.532979,53.393094
893.404392,58.004492
866.677846,62.800099
838.502845,67.742123
809.060246,72.823622
778.499553,78.006804
747.002504,83.234243
714.739860,88.468519
681.872103,93.651832
648.580796,98.736851
615.026600,103.655681
581.370174,108.340426
547.772177,112.723190
514.382288,116.756085
481.340086,120.360747
448.784973,123.468909
416.834742,126.032128
385.628797,127.982135
355.252869,129.280028
325.825105,129.857169
297.441864,129.674839
270.167798,128.683666
244.077835,126.854659
219.215546,124.127978
195.581282,120.483428
173.174692,115.941204
151.994895,110.551790
132.041008,104.365671
113.300995,97.463438
95.783015,89.986634
79.559353,82.057719
64.692368,73.758585
51.254698,65.191498
39.276641,56.447888
28.820380,47.619740
19.916216,38.798485
12.615352,30.096115
6.937105,21.624069
2.911421,13.493970
0.599076,5.878579
0.000000,0.000000
0.039410,-1.039616
1.458140,-6.792074
5.593912,-11.668902
12.554367,-16.355026
21.786651,-20.849993
33.150833,-25.055247
46.581029,-28.850738
62.108242,-32.185423
79.722549,-35.099876
99.360885,-37.635599
120.928122,-39.824551
144.307878,-41.699064
169.372435,-43.251268
195.983977,-44.503769
224.025416,-45.448509
253.337150,-46.078175
283.791637,-46.394993
315.229453,-46.401746
347.501271,-46.070740
380.458295,-45.404573
413.930116,-44.386019
447.756958,-42.997666
481.788966,-41.181530
515.886559,-38.859248
550.006874,-36.011367
584.075157,-32.618992
618.017717,-28.723810
651.760505,-24.347313
685.218849,-19.511180
718.381943,-14.205498
744.409653,-11.246373
765.631167,-8.855942
786.852680,-6.465512
816.576898,-3.926666
844.175440,-1.424924
873.899659,1.113922
903.623877,3.652767
935.473771,6.228717
954.569608,8.582044
986.419503,11.157993
1011.892368,13.622632
1041.616587,16.161477
1062.839862,18.450938
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.685367,0.934976
3.107460,2.262942
7.239111,4.322106
13.024492,6.656499
20.433247,9.177851
29.444701,11.852450
40.006672,14.624404
52.087336,17.489692
65.623419,20.418746
80.583975,23.357157
96.895317,26.262885
114.494539,29.085361
133.308984,31.723400
153.329266,34.105706
174.566755,36.189970
197.021942,37.948076
220.694986,39.370915
245.585942,40.455298
271.694843,41.199315
298.978550,41.638127
327.362186,41.797816
356.781342,41.713882
387.139859,41.413433
418.319967,40.943620
450.235985,40.340486
482.748544,39.670248
515.739545,38.998925
549.069950,38.373877
582.600614,37.848564
616.182627,37.426972
649.656182,37.128041
682.861462,36.971457
715.638526,36.983942
747.822925,36.232381
779.243537,35.383994
809.734685,34.185073
839.110030,32.956536
867.220789,31.694965
893.885649,30.433295
918.955968,29.160049
942.279977,28.042963
963.720108,27.045056
983.155049,25.807341
1000.440688,24.667872
1015.569868,23.427588
1028.724099,22.042272
1040.038241,20.703834
1049.444113,19.663895
1056.643419,18.957417
1061.238137,18.850969
1062.838100,18.551908
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1062.838100,18.551908
