Name,UNIVERSITY OF GLASGOW GU25-5(11)8 AIRFOIL
Chord(mm),450
Radius(mm),0
Thickness(%),75
Origin(%),0
Pitch(deg),5.2
,
Airfoil surface,
X(mm),Y(mm)
448.147979,-40.784661
426.295762,-32.645014
404.434979,-24.599477
382.581538,-16.473274
360.745838,-8.152127
338.916867,0.242965
317.079638,8.547307
295.216102,16.562593
273.303931,24.043463
251.314371,30.673972
229.197563,35.906259
206.892329,39.068103
184.460154,40.835086
161.923977,41.459292
139.290835,41.018026
116.560116,39.504566
93.724784,36.841606
70.768321,32.847647
47.656775,27.149605
36.020248,23.413252
24.303580,18.796287
12.452322,12.700434
2.715473,5.012519
0.000000,0.000000
1.945867,-3.444033
10.647295,-7.133475
21.715487,-9.642064
32.836598,-11.569180
43.982791,-13.220685
66.318001,-16.053140
88.687470,-18.509151
111.078657,-20.726522
133.486668,-22.759033
155.909361,-24.630211
178.346125,-26.346777
200.802160,-27.851594
223.273795,-29.184994
245.753077,-30.434366
268.236947,-31.633322
290.722652,-32.812111
313.207746,-33.997622
335.690699,-35.206661
358.170592,-36.449311
380.646510,-37.735655
403.120897,-39.038805
425.615168,-40.123483
448.147979,-40.784661
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
2.330670,0.784243
11.549808,2.783479
23.009534,4.577112
34.428423,5.922036
45.819783,6.964460
68.543161,8.397254
91.206127,9.166228
113.819386,9.389022
136.388752,9.129496
158.916669,8.414541
181.403139,7.244154
203.847245,5.608255
226.235679,3.360633
248.533724,0.119803
270.770439,-3.794929
292.969377,-8.124759
315.143692,-12.725158
337.303783,-17.481848
359.458215,-22.300719
381.614024,-27.104465
403.777938,-31.819141
425.955465,-36.384248
448.147979,-40.784661
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
448.147979,-40.784661
